"","tx_id","gene_name","gene_id","gene_biotype","type","closest_region","query_region","distance"
"ENSMUST00000190047","ENSMUST00000190047","Amotl2","ENSMUSG00000032531","protein_coding","cds","chr9-102725103-102725195","chr9-102716456-102727484",0
"ENSMUST00000029075","ENSMUST00000029075","Dok5","ENSMUSG00000027560","protein_coding","cds","chr2-170829840-170829954","chr2-170824664-170829856",0
"ENSMUST00000120977","ENSMUST00000120977","Wwtr1","ENSMUSG00000027803","protein_coding","cds","chr3-57575714-57575880","chr3-57572146-57578950",0
"ENSMUST00000165626","ENSMUST00000165626","Gm17332","ENSMUSG00000091195","protein_coding","cds","chr11-31182376-31182462","chr11-31168613-31170666",11709
"ENSMUST00000025635","ENSMUST00000025635","1700017D01Rik","ENSMUSG00000024729","protein_coding","gap","chr19-11105797-11110307","chr19-11107350-11108543",0
"ENSMUST00000124288","ENSMUST00000124288","Mib1","ENSMUSG00000024294","protein_coding","utr","chr18-10817819-10818704","chr18-10836718-10841597",18013
"ENSMUSE00000403308","ENSMUST00000050226","Smtnl2","ENSMUSG00000045667","protein_coding","exon","chr11-72411244-72411713","chr11-72413525-72417859",1811
"ENSMUST00000180353","ENSMUST00000180353","Sox1","ENSMUSG00000096014","protein_coding","utr","chr8-12397537-12400126","chr8-12427145-12432005",27018
"ENSMUST00000156094","ENSMUST00000156094","Rftn1","ENSMUSG00000039316","protein_coding","gap","chr17-50055628-50086567","chr17-50067768-50072612",0
"ENSMUST00000172353","ENSMUST00000172353","Irx2","ENSMUSG00000001504","protein_coding","cds","chr13-72632597-72632638","chr13-72621012-72633383",0
"ENSMUST00000098559","ENSMUST00000098559","Krtdap","ENSMUSG00000074199","protein_coding","utr","chr7-30790959-30791097","chr7-30803328-30804884",12230
"ENSMUST00000149565","ENSMUST00000149565","Agpat5","ENSMUSG00000031467","protein_coding","utr","chr8-18881964-18891361","chr8-18909539-18913708",18177
"ENSMUST00000087204","ENSMUST00000087204","Fry","ENSMUSG00000056602","protein_coding","gap","chr5-150405422-150413183","chr5-150408615-150411593",0
"ENSMUST00000058178","ENSMUST00000058178","Tacstd2","ENSMUSG00000051397","protein_coding","cds","chr6-67534753-67535706","chr6-67530195-67536537",0
"ENSMUST00000114148","ENSMUST00000114148","Evc","ENSMUSG00000029122","protein_coding","cds","chr5-37336635-37336793","chr5-37335935-37339818",0
"ENSMUST00000101432","ENSMUST00000101432","Npas3","ENSMUSG00000021010","protein_coding","gap","chr12-53354435-53501033","chr12-53484600-53486122",0
"ENSMUST00000170156","ENSMUST00000170156","Ryr2","ENSMUSG00000021313","protein_coding","gap","chr13-11834089-11851057","chr13-11836140-11838690",0
"ENSMUSE00001327530","ENSMUST00000187344","Gm28616","ENSMUSG00000100420","lincRNA","exon","chr5-132545376-132545593","chr5-132882146-132886016",336552
"ENSMUSE00000891232","ENSMUST00000168527","Dennd1b","ENSMUSG00000056268","protein_coding","exon","chr1-138963709-138963885","chr1-138927808-138931701",32007
"ENSMUSE00001157263","ENSMUST00000180785","Gm26612","ENSMUSG00000097676","lincRNA","exon","chr17-88159683-88159761","chr17-88273113-88275637",113351
"ENSMUST00000113438","ENSMUST00000113438","Adamts9","ENSMUSG00000030022","protein_coding","cds","chr6-92943041-92943155","chr6-92939655-92945188",0
"ENSMUST00000171551","ENSMUST00000171551","Bmpr1a","ENSMUSG00000021796","protein_coding","utr","chr14-34502395-34502528","chr14-34497150-34504573",0
"ENSMUSE00000843424","ENSMUST00000124362","Arid1b","ENSMUSG00000069729","protein_coding","exon","chr17-4994332-4994399","chr17-4864848-4869218",125113
"ENSMUST00000132088","ENSMUST00000132088","Sema6d","ENSMUSG00000027200","protein_coding","gap","chr2-124610278-124653580","chr2-124615517-124619022",0
"ENSMUST00000180154","ENSMUST00000180154","Plscr2","ENSMUSG00000032372","protein_coding","utr","chr9-92275602-92276018","chr9-92272993-92280846",0
"ENSMUSE00001014305","ENSMUST00000076734","Scaf8","ENSMUSG00000046201","protein_coding","exon","chr17-3114972-3115418","chr17-3006320-3039064",75907
"ENSMUSE00000738618","ENSMUST00000155540","5730437C11Rik","ENSMUSG00000085121","lincRNA","exon","chr3-98941109-98941256","chr3-98990158-98993042",48901
"ENSMUST00000113063","ENSMUST00000113063","Il1rapl2","ENSMUSG00000059203","protein_coding","utr","chrX-137570608-137571642","chrX-137568928-137574328",0
"ENSMUST00000024078","ENSMUST00000024078","March5","ENSMUSG00000023307","protein_coding","utr","chr19-37221507-37222139","chr19-37237144-37239774",15004
"ENSMUST00000026698","ENSMUST00000026698","Podxl","ENSMUSG00000025608","protein_coding","utr","chr6-31519488-31523021","chr6-31516841-31519934",0
"ENSMUST00000047450","ENSMUST00000047450","Creb5","ENSMUSG00000053007","protein_coding","utr","chr6-53694088-53696007","chr6-53726146-53729491",30138
"ENSMUST00000153607","ENSMUST00000153607","Farp1","ENSMUSG00000025555","protein_coding","gap","chr14-121102183-121207253","chr14-121108334-121111814",0
"ENSMUST00000163898","ENSMUST00000163898","Igfbp7","ENSMUSG00000036256","protein_coding","gap","chr5-77355672-77401486","chr5-77383361-77388929",0
"ENSMUST00000154569","ENSMUST00000154569","Cpne8","ENSMUSG00000052560","protein_coding","gap","chr15-90649284-90679167","chr15-90663749-90670601",0
"ENSMUST00000193603","ENSMUST00000193603","Nlgn1","ENSMUSG00000063887","protein_coding","utr","chr3-26331004-26332460","chr3-26330845-26334372",0
"ENSMUST00000168043","ENSMUST00000168043","Hoxb8","ENSMUSG00000056648","protein_coding","cds","chr11-96284163-96284470","chr11-96275259-96287824",0
"ENSMUST00000106604","ENSMUST00000106604","1700092K14Rik","ENSMUSG00000078600","processed_transcript","gap","chr11-114198878-114199022","chr11-114197837-114199485",0
"ENSMUST00000165067","ENSMUST00000165067","Acss3","ENSMUSG00000035948","protein_coding","cds","chr10-107123288-107123583","chr10-107122121-107124887",0
"ENSMUST00000088516","ENSMUST00000088516","Magi2","ENSMUSG00000040003","protein_coding","cds","chr5-19227289-19227589","chr5-19224096-19228849",0
"ENSMUST00000161927","ENSMUST00000161927","Armc2","ENSMUSG00000071324","protein_coding","gap","chr10-41951747-41963638","chr10-41957082-41960343",0
"ENSMUST00000143577","ENSMUST00000143577","Col16a1","ENSMUSG00000040690","protein_coding","cds","chr4-130083122-130083175","chr4-130073939-130083581",0
"ENSMUST00000167816","ENSMUST00000167816","Wdr25","ENSMUSG00000040877","protein_coding","gap","chr12-108898726-108980690","chr12-108911969-108916773",0
"ENSMUST00000068088","ENSMUST00000068088","Fam19a5","ENSMUSG00000054863","protein_coding","cds","chr15-87625396-87625486","chr15-87623329-87626284",0
"ENSMUST00000012587","ENSMUST00000012587","Kif11","ENSMUSG00000012443","protein_coding","cds","chr19-37376594-37376667","chr19-37374714-37378304",0
"ENSMUST00000177893","ENSMUST00000177893","Gm21860","ENSMUSG00000095366","protein_coding","cds","chrY-90754513-90754821","chrY-90737333-90745058",9454
"ENSMUST00000166468","ENSMUST00000166468","Ptprk","ENSMUSG00000019889","protein_coding","cds","chr10-28075081-28075177","chr10-28073641-28077278",0
"ENSMUST00000049285","ENSMUST00000049285","Lrrn1","ENSMUSG00000034648","protein_coding","utr","chr6-107529726-107530243","chr6-107528884-107531573",0
"ENSMUST00000188614","ENSMUST00000188614","B3galt1","ENSMUSG00000034780","protein_coding","gap","chr2-67566035-67748159","chr2-67564588-67568042",0
"ENSMUSE00000355418","ENSMUST00000063116","Msx1","ENSMUSG00000048450","protein_coding","exon","chr5-37823865-37824583","chr5-37889694-37896602",65110
"ENSMUSE00000679696","ENSMUST00000164727","F13a1","ENSMUSG00000039109","protein_coding","exon","chr13-37050195-37050244","chr13-37108425-37111387",58180
"ENSMUST00000179770","ENSMUST00000179770","Eif4enif1","ENSMUSG00000020454","protein_coding","cds","chr11-3203658-3203750","chr11-3184089-3205278",0
"ENSMUST00000052915","ENSMUST00000052915","Axin2","ENSMUSG00000000142","protein_coding","utr","chr11-108949396-108950783","chr11-109011420-109012325",60636
"ENSMUST00000077337","ENSMUST00000077337","Irx1","ENSMUSG00000060969","protein_coding","cds","chr13-71963213-71963488","chr13-71956195-71966117",0
"ENSMUST00000176826","ENSMUST00000176826","Osmr","ENSMUSG00000022146","protein_coding","utr","chr15-6874201-6874969","chr15-6871002-6875290",0
"ENSMUST00000057021","ENSMUST00000057021","Osr1","ENSMUSG00000048387","protein_coding","cds","chr12-9580490-9580625","chr12-9569263-9585720",0
"ENSMUST00000097442","ENSMUST00000097442","Ptpn14","ENSMUSG00000026604","protein_coding","cds","chr1-189860458-189860586","chr1-189859846-189862353",0
"ENSMUST00000178814","ENSMUST00000178814","Mdga2","ENSMUSG00000034912","protein_coding","cds","chr12-67220970-67221042","chr12-67219209-67223301",0
"ENSMUST00000032192","ENSMUST00000032192","Itpr1","ENSMUSG00000030102","protein_coding","cds","chr6-108236994-108237085","chr6-108229821-108238726",0
"ENSMUST00000084117","ENSMUST00000084117","H6pd","ENSMUSG00000028980","protein_coding","utr","chr4-149979475-149981557","chr4-149964308-149971399",8075
"ENSMUST00000108702","ENSMUST00000108702","Pmp22","ENSMUSG00000018217","protein_coding","gap","chr11-63134521-63151118","chr11-63134999-63137085",0
"ENSMUST00000153460","ENSMUST00000153460","Clu","ENSMUSG00000022037","protein_coding","cds","chr14-65971759-65971852","chr14-65967846-65972056",0
"ENSMUST00000167816.1","ENSMUST00000167816","Wdr25","ENSMUSG00000040877","protein_coding","gap","chr12-108898726-108980690","chr12-108936399-108939290",0
"ENSMUSE00000531298","ENSMUST00000082136","Max","ENSMUSG00000059436","protein_coding","exon","chr12-76961990-76962248","chr12-77063669-77074252",101420
"ENSMUSE00000840510","ENSMUST00000141344","D430001F17Rik","ENSMUSG00000087190","processed_transcript","exon","chr16-91961886-91962915","chr16-91968569-91972175",5653
"ENSMUST00000176838","ENSMUST00000176838","Vmn1r4","ENSMUSG00000071893","protein_coding","gap","chr6-56928016-56956460","chr6-56931154-56935344",0
"ENSMUST00000189181","ENSMUST00000189181","Pgr","ENSMUSG00000031870","protein_coding","cds","chr9-8903596-8903747","chr9-8898299-8903830",0
"ENSMUST00000190680","ENSMUST00000190680","Rd3l","ENSMUSG00000091402","protein_coding","cds","chr12-111980042-111980143","chr12-111976404-111983686",0
"ENSMUST00000135016","ENSMUST00000135016","Gsto2","ENSMUSG00000025069","protein_coding","cds","chr19-47884656-47884704","chr19-47882068-47889296",0
"ENSMUST00000117811","ENSMUST00000117811","Npnt","ENSMUSG00000040998","protein_coding","utr","chr3-132881745-132884429","chr3-132870801-132872443",9301
"ENSMUST00000038863","ENSMUST00000038863","Lars2","ENSMUSG00000035202","protein_coding","cds","chr9-123461499-123461678","chr9-123461596-123462403",0
"ENSMUST00000033952","ENSMUST00000033952","Sfrp1","ENSMUSG00000031548","protein_coding","cds","chr8-23411785-23412328","chr8-23409095-23414066",0
"ENSMUSE00000537712","ENSMUST00000086238","Gm10181","ENSMUSG00000066810","protein_coding","exon","chr9-25089422-25089490","chr9-25074422-25076865",12556
"ENSMUST00000019386","ENSMUST00000019386","Ripk4","ENSMUSG00000005251","protein_coding","cds","chr16-97763528-97763709","chr16-97760837-97764454",0
"ENSMUST00000034214","ENSMUST00000034214","Mt2","ENSMUSG00000031762","protein_coding","cds","chr8-94173336-94173427","chr8-94170889-94175341",0
"ENSMUSE00000173383","ENSMUST00000029414","Ssr3","ENSMUSG00000027828","protein_coding","exon","chr3-65392405-65392623","chr3-65434568-65436262",41944
"ENSMUST00000151291","ENSMUST00000151291","Ezh1","ENSMUSG00000006920","protein_coding","gap","chr11-101218721-101226395","chr11-101220750-101222269",0
"ENSMUST00000055168","ENSMUST00000055168","Kcna1","ENSMUSG00000047976","protein_coding","cds","chr6-126641868-126643355","chr6-126642099-126646703",0
"ENSMUST00000151784","ENSMUST00000151784","Gas7","ENSMUSG00000033066","protein_coding","gap","chr11-67665463-67670593","chr11-67666884-67669179",0
"ENSMUST00000024866","ENSMUST00000024866","Xdh","ENSMUSG00000024066","protein_coding","utr","chr17-73883908-73884432","chr17-73873381-73876725",7182
"ENSMUST00000150060","ENSMUST00000150060","Lrrc49","ENSMUSG00000047766","protein_coding","utr","chr9-60568859-60570598","chr9-60542585-60548869",19989
"ENSMUST00000100676","ENSMUST00000100676","Bmp4","ENSMUSG00000021835","protein_coding","cds","chr14-46385715-46386087","chr14-46385048-46392050",0
"ENSMUST00000058229","ENSMUST00000058229","Rp1l1","ENSMUSG00000046049","protein_coding","gap","chr14-63992629-64021889","chr14-64011125-64018299",0
"ENSMUST00000112272","ENSMUST00000112272","Wnt5a","ENSMUSG00000021994","protein_coding","cds","chr14-28511877-28511956","chr14-28503299-28512219",0
"ENSMUST00000171515","ENSMUST00000171515","Gm17268","ENSMUSG00000092157","protein_coding","cds","chr11-82038528-82038562","chr11-82038390-82042638",0
"ENSMUST00000174296","ENSMUST00000174296","Rora","ENSMUSG00000032238","protein_coding","gap","chr9-68653973-69196074","chr9-68940553-68944517",0
"ENSMUST00000025295","ENSMUST00000025295","Spry4","ENSMUSG00000024427","protein_coding","utr","chr18-38586268-38589805","chr18-38540448-38545576",40691
"ENSMUST00000018571","ENSMUST00000018571","Ypel2","ENSMUSG00000018427","protein_coding","utr","chr11-86936425-86940598","chr11-86919471-86922006",14418
"ENSMUST00000193252","ENSMUST00000193252","Pcdh10","ENSMUSG00000049100","protein_coding","cds","chr3-45379253-45381943","chr3-45375489-45383021",0
"ENSMUST00000037481","ENSMUST00000037481","Clec1a","ENSMUSG00000033082","protein_coding","cds","chr6-129451604-129451715","chr6-129446262-129453365",0
"ENSMUST00000110908","ENSMUST00000110908","Meis2","ENSMUSG00000027210","protein_coding","cds","chr2-116064802-116064813","chr2-116059602-116068660",0
"ENSMUST00000182432","ENSMUST00000182432","Pdlim1","ENSMUSG00000055044","protein_coding","cds","chr19-40249619-40249703","chr19-40246553-40251586",0
"ENSMUSE00001331068","ENSMUST00000188490","1700006H21Rik","ENSMUSG00000102000","lincRNA","exon","chr13-107687397-107687584","chr13-107598623-107602119",85277
"ENSMUST00000071281","ENSMUST00000071281","Foxb1","ENSMUSG00000059246","protein_coding","cds","chr9-69759269-69760246","chr9-69757121-69771780",0
"ENSMUST00000130407","ENSMUST00000130407","Ece1","ENSMUSG00000057530","protein_coding","gap","chr4-137862382-137913767","chr4-137887418-137893148",0
"ENSMUST00000056617","ENSMUST00000056617","Gpr133","ENSMUSG00000044017","protein_coding","utr","chr5-129202560-129204599","chr5-129241363-129245195",36763
"ENSMUST00000051572.1","ENSMUST00000051572","Sdpr","ENSMUSG00000045954","protein_coding","cds","chr1-51300649-51301422","chr1-51295932-51301976",0
"ENSMUST00000159561","ENSMUST00000159561","Grid2","ENSMUSG00000071424","protein_coding","cds","chr6-63256857-63256944","chr6-63255604-63259198",0
"ENSMUST00000109359","ENSMUST00000109359","Matn4","ENSMUSG00000016995","protein_coding","cds","chr2-164401842-164401920","chr2-164396449-164406204",0
"ENSMUST00000187911","ENSMUST00000187911","Gm7854","ENSMUSG00000085720","lincRNA","gap","chr5-43187606-43191293","chr5-43184373-43187696",0
"ENSMUST00000180497","ENSMUST00000180497","Gm6634","ENSMUSG00000097252","lincRNA","gap","chr3-70798149-70807216","chr3-70800909-70807852",0
"ENSMUST00000024860","ENSMUST00000024860","Ehd3","ENSMUSG00000024065","protein_coding","cds","chr17-73805243-73805469","chr17-73803472-73811758",0
"ENSMUST00000138934","ENSMUST00000138934","Scn5a","ENSMUSG00000032511","protein_coding","cds","chr9-119562537-119562624","chr9-119557850-119562856",0
"ENSMUST00000049872","ENSMUST00000049872","Gpr183","ENSMUSG00000051212","protein_coding","utr","chr14-121965053-121965193","chr14-121957483-121966433",0
"ENSMUST00000116492","ENSMUST00000116492","Ubp1","ENSMUSG00000009741","protein_coding","cds","chr9-113970142-113970260","chr9-113968167-113972552",0
"ENSMUSE00001321635","ENSMUST00000188056","1810053B23Rik","ENSMUSG00000100277","processed_transcript","exon","chr16-93343281-93344371","chr16-93126755-93132071",211209
"ENSMUST00000063750","ENSMUST00000063750","Rarb","ENSMUSG00000017491","protein_coding","cds","chr14-16574858-16575014","chr14-16568218-16578383",0
"ENSMUST00000127664","ENSMUST00000127664","Gm20388","ENSMUSG00000092329","protein_coding","gap","chr8-119910940-124295357","chr8-121448995-121453020",0
"ENSMUST00000065118","ENSMUST00000065118","Ube2ql1","ENSMUSG00000052981","protein_coding","cds","chr13-69738558-69739340","chr13-69736800-69741482",0
"ENSMUST00000086639","ENSMUST00000086639","Alk","ENSMUSG00000055471","protein_coding","cds","chr17-72603028-72603709","chr17-72602878-72605353",0
"ENSMUST00000092665","ENSMUST00000092665","Eya4","ENSMUSG00000010461","protein_coding","utr","chr10-23349762-23349895","chr10-23347264-23351868",0
"ENSMUSE00000700763","ENSMUST00000114840","Thy1","ENSMUSG00000032011","protein_coding","exon","chr9-44043384-44043476","chr9-44029210-44033073",10310
"ENSMUSE00001321021","ENSMUST00000188773","Gm28525","ENSMUSG00000099784","lincRNA","exon","chr1-42750712-42752881","chr1-42744517-42745999",4712
"ENSMUST00000127704","ENSMUST00000127704","Cdc14a","ENSMUSG00000033502","protein_coding","gap","chr3-116366707-116392821","chr3-116382310-116392242",0
"ENSMUST00000058099","ENSMUST00000058099","F2rl3","ENSMUSG00000050147","protein_coding","cds","chr8-72762259-72763337","chr8-72756972-72767897",0
"ENSMUST00000102513","ENSMUST00000102513","Pla2g5","ENSMUSG00000041193","protein_coding","gap","chr4-138819256-138863169","chr4-138824573-138828458",0
"ENSMUST00000076034","ENSMUST00000076034","B3gnt8","ENSMUSG00000059479","protein_coding","cds","chr7-25628147-25629316","chr7-25624932-25630609",0
"ENSMUST00000094467","ENSMUST00000094467","Entpd6","ENSMUSG00000033068","protein_coding","cds","chr2-150770629-150770727","chr2-150770326-150773990",0
"ENSMUST00000184572","ENSMUST00000184572","Aspa","ENSMUSG00000020774","protein_coding","cds","chr11-73324255-73324487","chr11-73323169-73327744",0
"ENSMUSE00000665483","ENSMUST00000105256","Ctdsp2","ENSMUSG00000078429","protein_coding","exon","chr10-126978717-126979301","chr10-126961675-126964188",14528
"ENSMUST00000029795","ENSMUST00000029795","Rorc","ENSMUSG00000028150","protein_coding","cds","chr3-94375035-94375064","chr3-94371283-94375690",0
"ENSMUST00000034109","ENSMUST00000034109","1700011L22Rik","ENSMUSG00000031682","protein_coding","cds","chr8-79210650-79210757","chr8-79205937-79210824",0
"ENSMUST00000191192","ENSMUST00000191192","Nupr1","ENSMUSG00000030717","protein_coding","cds","chr7-126625323-126625344","chr7-126618913-126626569",0
"ENSMUST00000081989","ENSMUST00000081989","Rnf217","ENSMUSG00000063760","protein_coding","gap","chr10-31534897-31608383","chr10-31535732-31539973",0
"ENSMUST00000063116","ENSMUST00000063116","Msx1","ENSMUSG00000048450","protein_coding","cds","chr5-37823865-37824333","chr5-37816442-37832655",0
"ENSMUST00000153962","ENSMUST00000153962","Cnst","ENSMUSG00000038949","protein_coding","gap","chr1-179579769-179592684","chr1-179581612-179588443",0
"ENSMUST00000156679","ENSMUST00000156679","Ankrd33b","ENSMUSG00000022237","protein_coding","gap","chr15-31325216-31367038","chr15-31341722-31347359",0
"ENSMUST00000022744","ENSMUST00000022744","Gdnf","ENSMUSG00000022144","protein_coding","cds","chr15-7815589-7815765","chr15-7807385-7817536",0
"ENSMUST00000176684","ENSMUST00000176684","Irx4","ENSMUSG00000021604","protein_coding","cds","chr13-73268226-73269034","chr13-73259473-73273454",0
"ENSMUSE00000419064","ENSMUST00000068783","Gm9881","ENSMUSG00000052471","protein_coding","exon","chr16-91168197-91171401","chr16-91173342-91176481",1940
"ENSMUST00000034190","ENSMUST00000034190","Vac14","ENSMUSG00000010936","protein_coding","gap","chr8-110682625-110710317","chr8-110687275-110691265",0
"ENSMUST00000110133","ENSMUST00000110133","Nrxn3","ENSMUSG00000066392","protein_coding","cds","chr12-89813400-89813640","chr12-89811222-89815057",0
"ENSMUSE00000480914","ENSMUST00000054442","N6amt1","ENSMUSG00000044442","protein_coding","exon","chr16-87354185-87354386","chr16-86820016-86823872",530312
"ENSMUSE00001225499","ENSMUST00000120537","Bcl3","ENSMUSG00000053175","protein_coding","exon","chr7-19822437-19822770","chr7-19830182-19833093",7411
"ENSMUST00000170833","ENSMUST00000170833","Hk2","ENSMUSG00000000628","protein_coding","gap","chr6-82749338-82760103","chr6-82752736-82755808",0
"ENSMUST00000057279","ENSMUST00000057279","Olfml2a","ENSMUSG00000046618","protein_coding","cds","chr2-38951141-38951414","chr2-38949639-38952077",0
"ENSMUST00000034745","ENSMUST00000034745","Myo1e","ENSMUSG00000032220","protein_coding","gap","chr9-70207704-70286911","chr9-70281543-70285486",0
"ENSMUSE00000795456","ENSMUST00000142429","Gm13056","ENSMUSG00000085395","lincRNA","exon","chr4-141279337-141279794","chr4-141285809-141289681",6014
"ENSMUST00000096000","ENSMUST00000096000","Sh2d4b","ENSMUSG00000037833","protein_coding","cds","chr14-40892782-40892965","chr14-40890137-40907793",0
"ENSMUST00000036177","ENSMUST00000036177","En2","ENSMUSG00000039095","protein_coding","cds","chr5-28170119-28170435","chr5-28156795-28176977",0
"ENSMUST00000195524","ENSMUST00000195524","Lrba","ENSMUSG00000028080","protein_coding","cds","chr3-86548230-86548277","chr3-86545848-86550940",0
"ENSMUST00000190395","ENSMUST00000190395","Chrm3","ENSMUSG00000046159","protein_coding","gap","chr13-10215865-10224644","chr13-10218201-10221450",0
"ENSMUST00000042986","ENSMUST00000042986","Plcl1","ENSMUSG00000038349","protein_coding","gap","chr1-55406631-55695744","chr1-55617279-55621416",0
"ENSMUST00000172923","ENSMUST00000172923","Hmx1","ENSMUSG00000067438","protein_coding","cds","chr5-35399678-35399730","chr5-35385796-35402885",0
"ENSMUST00000143428","ENSMUST00000143428","Gm11766","ENSMUSG00000086924","lincRNA","gap","chr11-119938638-119939183","chr11-119931635-119939127",0
"ENSMUST00000009689","ENSMUST00000009689","Kcnq1","ENSMUSG00000009545","protein_coding","cds","chr7-143363633-143363694","chr7-143363551-143368922",0
"ENSMUST00000105966","ENSMUST00000105966","Lsp1","ENSMUSG00000018819","protein_coding","cds","chr7-142472303-142472364","chr7-142469103-142474067",0
"ENSMUST00000015628","ENSMUST00000015628","Fam163a","ENSMUSG00000015484","protein_coding","gap","chr1-156087887-156204829","chr1-156107075-156111543",0
"ENSMUST00000168793","ENSMUST00000168793","Lrtm2","ENSMUSG00000055003","protein_coding","utr","chr6-119329104-119329204","chr6-119327791-119334875",0
"ENSMUST00000171470","ENSMUST00000171470","Lox","ENSMUSG00000024529","protein_coding","cds","chr18-52528717-52529329","chr18-52526098-52530825",0
"ENSMUSE00000657029","ENSMUST00000080208","Epb4.1l3","ENSMUSG00000024044","protein_coding","exon","chr17-69156810-69156910","chr17-69074971-69077984",78825
"ENSMUST00000094814","ENSMUST00000094814","Cited4","ENSMUSG00000070803","protein_coding","cds","chr4-120666803-120667351","chr4-120664678-120671772",0
"ENSMUST00000112103","ENSMUST00000112103","Nav1","ENSMUSG00000090399","lincRNA","gap","chr1-135607905-135687918","chr1-135684602-135691975",0
"ENSMUST00000182124","ENSMUST00000182124","6530403H02Rik","ENSMUSG00000098097","lincRNA","gap","chr3-120636746-120650204","chr3-120648121-120649828",0
"ENSMUST00000018315","ENSMUST00000018315","Vmp1","ENSMUSG00000018171","protein_coding","cds","chr11-86586496-86586598","chr11-86575534-86589204",0
"ENSMUSE00000545005","ENSMUST00000087324","Pgm1","ENSMUSG00000029171","protein_coding","exon","chr5-64092936-64093088","chr5-64043964-64046547",46388
"ENSMUSE00000488195","ENSMUST00000020974","Id2","ENSMUSG00000020644","protein_coding","exon","chr12-25095663-25096092","chr12-25239346-25242751",143253
"ENSMUST00000019992","ENSMUST00000019992","Lama4","ENSMUSG00000019846","protein_coding","cds","chr10-38965955-38966149","chr10-38964543-38967510",0
"ENSMUST00000107124","ENSMUST00000107124","Elavl2","ENSMUSG00000008489","protein_coding","utr","chr4-91375936-91376496","chr4-91373400-91377215",0
"ENSMUSE00000908570","ENSMUST00000067426","Cdkn3","ENSMUSG00000037628","protein_coding","exon","chr14-46760541-46760648","chr14-46702481-46705795",54745
"ENSMUST00000077698","ENSMUST00000077698","Calml3","ENSMUSG00000063130","protein_coding","utr","chr13-3802893-3803753","chr13-3765137-3771719",31173
"ENSMUST00000085272","ENSMUST00000085272","Htatip2","ENSMUSG00000039745","protein_coding","gap","chr7-49762168-49770809","chr7-49762276-49766121",0
"ENSMUST00000049348","ENSMUST00000049348","Traip","ENSMUSG00000032586","protein_coding","cds","chr9-107970974-107971096","chr9-107970206-107973410",0
"ENSMUST00000162540","ENSMUST00000162540","1700112E06Rik","ENSMUSG00000063458","protein_coding","gap","chr14-22584546-22596424","chr14-22586817-22588539",0
"ENSMUST00000006614","ENSMUST00000006614","Epha2","ENSMUSG00000006445","protein_coding","cds","chr4-141301353-141301434","chr4-141298917-141305551",0
"ENSMUSE00000745291","ENSMUST00000025236","Stard4","ENSMUSG00000024378","protein_coding","exon","chr18-33213634-33213862","chr18-33292026-33293679",78163
