"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"chr5-129241363-129245195",7.03219206998757e-22,0.934355210607507,0.158,0.079,1.24722255334093e-16
"chr1-51295932-51301976",1.04681913181472e-21,0.782410122739414,0.213,0.12,1.85662794399527e-16
"chr6-63255604-63259198",1.13959526121475e-21,0.981254829184744,0.148,0.072,2.02117475933786e-16
"chr16-20701282-20705225",1.24098820921092e-21,-0.6981328415054,0.122,0.178,2.2010042779744e-16
"chr2-164396449-164406204",1.28343754530252e-21,0.682297796630408,0.249,0.153,2.2762919959731e-16
"chr19-41330387-41333327",1.48138938781491e-21,-0.686954885934218,0.116,0.173,2.62737740433464e-16
"chr5-43184373-43187696",1.84333471984442e-21,0.771692536014731,0.21,0.116,3.26932002576886e-16
"chr4-117490101-117497583",2.69835447626299e-21,-0.434276219134729,0.283,0.347,4.78577451555527e-16
"chr12-8840873-8849006",3.12100294140976e-21,-0.557559115495349,0.171,0.224,5.53537960685494e-16
"chr3-70800909-70807852",3.93951348587649e-21,0.784731154836911,0.207,0.116,6.98708172341568e-16
"chr16-91365767-91368626",4.1665972470535e-21,-0.58319640408106,0.152,0.205,7.38983521140162e-16
"chr17-73803472-73811758",5.07840177684777e-21,0.667796662779726,0.26,0.161,9.00700260739943e-16
"chr9-119557850-119562856",5.55484328473187e-21,0.890306810428343,0.162,0.083,9.85201450136759e-16
"chr10-80114092-80166127",5.60992379266055e-21,-0.142144498775043,0.913,0.936,9.94970473942483e-16
"chr14-121957483-121966433",6.25316227884724e-21,0.769415001526182,0.205,0.117,1.10905460861407e-15
"chr9-113968167-113972552",7.44456668660181e-21,0.901628459214334,0.167,0.084,1.32036090296901e-15
"chr12-82225293-82228019",1.86925859597154e-20,-0.581935143879573,0.151,0.206,3.31529835322917e-15
"chr16-93126755-93132071",2.28645107216755e-20,0.889879565932489,0.165,0.084,4.05522675708564e-15
"chr14-16568218-16578383",2.77984444429029e-20,0.527995252286591,0.347,0.23,4.93030430794881e-15
"chr8-121448995-121453020",3.20088371153488e-20,0.754786197912231,0.202,0.116,5.67705534194115e-15
"chr12-102353014-102358132",4.38406593183004e-20,-0.813062222103023,0.08,0.13,7.77553549603444e-15
"chr13-69736800-69741482",6.76537082716136e-20,0.767405507329725,0.205,0.115,1.19989940453451e-14
"chr17-72602878-72605353",6.89937612672466e-20,0.805501312460834,0.196,0.106,1.22366645045976e-14
"chr10-23347264-23351868",6.97966811939161e-20,0.94729224808479,0.148,0.073,1.23790695798718e-14
"chr9-44029210-44033073",8.09381359211123e-20,0.841519152700228,0.172,0.092,1.43551068488326e-14
"chr1-42744517-42745999",8.40016515764707e-20,0.938883176184413,0.151,0.073,1.48984489219513e-14
"chr3-116382310-116392242",9.74261577441858e-20,0.61377739117471,0.279,0.177,1.72794059113511e-14
"chr8-72756972-72767897",1.08258709301467e-19,0.396842514822229,0.483,0.368,1.92006564229989e-14
"chr4-138824573-138828458",1.911793193335e-19,0.859340021054721,0.165,0.088,3.39073728976702e-14
"chr5-139403157-139411191",2.23004766995617e-19,-0.409695639636467,0.284,0.339,3.95519024695757e-14
"chr7-82864539-82870288",2.69015793411629e-19,-0.30132603401367,0.419,0.472,4.77123721036931e-14
"chr7-25624932-25630609",3.08775946207989e-19,0.578999974809773,0.298,0.196,5.47641930435027e-14
"chr19-45543251-45546313",3.74326400751178e-19,-0.558186612322584,0.162,0.213,6.63901561108282e-14
"chr11-70028299-70030401",3.74435987835002e-19,-0.700037421144267,0.102,0.15,6.64095923664281e-14
"chr2-150770326-150773990",4.32437313351486e-19,0.846667555912903,0.156,0.086,7.66966494587062e-14
"chr11-73323169-73327744",4.57340984907051e-19,0.814283178773344,0.171,0.093,8.11135397421297e-14
"chr10-126961675-126964188",4.94236287384728e-19,0.92488722705604,0.143,0.073,8.76572536942679e-14
"chr3-94371283-94375690",5.84688614445104e-19,0.798918069887261,0.181,0.099,1.03699787969369e-13
"chr8-79205937-79210824",6.01911363187636e-19,0.5183335961774,0.336,0.23,1.06754397463596e-13
"chr11-51643310-51645816",6.24551556958813e-19,-0.761426966049643,0.086,0.134,1.10769839590658e-13
"chr7-126618913-126626569",8.69967869176072e-19,0.522500913369227,0.346,0.236,1.54296631309199e-13
"chr10-31535732-31539973",1.06762135941401e-18,0.904753404361725,0.149,0.076,1.89352256684309e-13
"chr11-106149114-106162499",1.2440593208334e-18,-0.311346482385824,0.429,0.481,2.2064511708369e-13
"chr5-37816442-37832655",1.56655083153803e-18,0.45388749977113,0.393,0.28,2.77841888930753e-13
"chr1-179581612-179588443",2.29765397458888e-18,0.824674154617508,0.164,0.089,4.07509611279109e-13
"chr15-31341722-31347359",2.63729740021593e-18,0.690635023182908,0.219,0.129,4.67748429604898e-13
"chr15-7807385-7817536",2.79277150132297e-18,0.566724598538022,0.292,0.189,4.95323160703141e-13
"chr13-73259473-73273454",3.64925722361539e-18,0.585979494174056,0.285,0.181,6.47228611923202e-13
"chr4-138255742-138264430",3.75743785845088e-18,-0.345222627574494,0.333,0.385,6.6641542113699e-13
"chr16-91173342-91176481",5.1515852600173e-18,0.857529990615101,0.15,0.08,9.13680010131408e-13
"chr8-110687275-110691265",5.17668244365209e-18,0.821225844979944,0.169,0.09,9.18131221523691e-13
"chr12-89811222-89815057",6.0593022267956e-18,0.79011240829173,0.177,0.098,1.07467178364224e-12
"chr16-86820016-86823872",9.37835109604184e-18,0.844275870724056,0.143,0.076,1.66333497204288e-12
"chr10-127560653-127566565",9.77800010494377e-18,-0.429092839972948,0.245,0.298,1.73421632061272e-12
"chr7-135544663-135562300",9.90931705374524e-18,-0.506071320226937,0.172,0.217,1.7575065633352e-12
"chr7-19830182-19833093",1.03889251470315e-17,0.699527799386497,0.203,0.122,1.84256937515237e-12
"chr6-82752736-82755808",1.08311528781308e-17,0.648593499474425,0.229,0.14,1.9210024433124e-12
"chr13-55208599-55213571",1.22206223355869e-17,-0.293814547629646,0.391,0.424,2.16743735681736e-12
"chr2-38949639-38952077",1.34757502352036e-17,0.661492692486811,0.227,0.136,2.39004558596547e-12
"chr9-70281543-70285486",1.68115553916832e-17,0.751636269245715,0.181,0.105,2.98168065271353e-12
"chr4-141285809-141289681",2.35989553881739e-17,0.603653121458284,0.249,0.158,4.18548712869114e-12
"chr14-40890137-40907793",3.05433873546162e-17,0.466582979590647,0.355,0.246,5.41714463782737e-12
"chr5-28156795-28176977",3.69282093904473e-17,0.459868540117143,0.374,0.266,6.54955028928035e-12
"chr3-86545848-86550940",4.66872498998096e-17,0.600673477875501,0.258,0.165,8.28040395498033e-12
"chr5-139774738-139778325",4.98121291130542e-17,-0.492308753906411,0.172,0.224,8.83462940736217e-12
"chr13-10218201-10221450",5.53420159438354e-17,0.567313755948101,0.28,0.179,9.8154046057827e-12
"chr1-55617279-55621416",5.6223015310328e-17,0.65681551987365,0.215,0.131,9.97165777242447e-12
"chr5-35385796-35402885",5.92440213927598e-17,0.607463479071596,0.241,0.157,1.05074603901985e-11
"chr11-119931635-119939127",6.35618251667975e-17,0.48457620361857,0.342,0.236,1.1273261749758e-11
"chr7-143363551-143368922",6.75404775958555e-17,0.789786802673202,0.167,0.094,1.19789115659233e-11
"chr4-129510870-129518236",6.75807346746492e-17,-0.444971511257668,0.201,0.244,1.19860515211611e-11
"chr7-142469103-142474067",6.98983816807822e-17,0.485079429821584,0.341,0.236,1.23971070765218e-11
"chr15-81020327-81023192",8.19466986439047e-17,-0.611880252977522,0.117,0.164,1.45339845247843e-11
"chr1-156107075-156111543",8.35844090118672e-17,0.648318307050364,0.213,0.13,1.48244471979357e-11
"chr6-119327791-119334875",9.32131703264417e-17,0.594744693928917,0.24,0.155,1.65321946759274e-11
"chr2-26512387-26517263",9.76260502192154e-17,-0.530918367174555,0.154,0.199,1.73148586408298e-11
"chr17-28005034-28035939",1.01834060639841e-16,-0.179815061737591,0.775,0.814,1.80611871610215e-11
"chr18-52526098-52530825",1.13290172191275e-16,0.679071203757324,0.217,0.131,2.00930316496723e-11
"chr17-69074971-69077984",1.16669817796162e-16,0.837185390185656,0.154,0.081,2.06924422145094e-11
"chr4-117483728-117488617",1.59607952422349e-16,-0.606031033901676,0.119,0.16,2.83079068336753e-11
"chr4-120664678-120671772",1.93968008821441e-16,0.538691654289122,0.287,0.191,3.4401972076562e-11
"chr1-135684602-135691975",2.25813265678614e-16,0.413778236323876,0.42,0.311,4.00500149874933e-11
"chr3-120648121-120649828",2.41852174090642e-16,0.811782023820126,0.155,0.084,4.28946597445422e-11
"chr11-86575534-86589204",2.45593099461951e-16,0.286832693201009,0.596,0.503,4.35581465274721e-11
"chr5-64043964-64046547",3.67782466664342e-16,0.805719264252191,0.155,0.083,6.5229530505121e-11
"chr12-25239346-25242751",3.73156088527129e-16,0.691997679778984,0.193,0.113,6.61825907050831e-11
"chr10-38964543-38967510",4.32793589625415e-16,0.722965159598537,0.174,0.1,7.6759838262374e-11
"chr4-91373400-91377215",4.36131213641934e-16,0.696777062749925,0.188,0.11,7.73517959203198e-11
"chr14-46702481-46705795",5.489647088635e-16,0.657854689238567,0.209,0.124,9.73638317993215e-11
"chr15-27701137-27704348",5.71384911068818e-16,-0.544393607181858,0.125,0.168,1.01340256442254e-10
"chr13-3765137-3771719",6.44005215892983e-16,0.782298393329223,0.152,0.086,1.14220121085564e-10
"chr7-49762276-49766121",7.00524961056388e-16,0.674535536925906,0.195,0.116,1.24244406568e-10
"chr9-107970206-107973410",7.18022009739276e-16,0.789443089656199,0.163,0.09,1.27347665625348e-10
"chr1-87827596-87830778",7.58622997814654e-16,-0.605861849927569,0.111,0.152,1.34548616269409e-10
"chr14-22586817-22588539",9.36838673484418e-16,0.813383004460861,0.146,0.078,1.66156770290523e-10
"chr4-141298917-141305551",1.04755749778925e-15,0.553543560612685,0.265,0.173,1.85793750250404e-10
"chr18-33292026-33293679",1.05777625618689e-15,0.796036871933695,0.151,0.081,1.87606139021051e-10
"chr5-28012436-28014884",1.10185416597595e-15,0.798423834745548,0.155,0.086,1.95423753023328e-10
"chr4-130773853-130780125",1.15259750588093e-15,0.726101776065585,0.172,0.099,2.04423541045535e-10
"chr16-22919639-22920949",1.24145605476734e-15,0.771627889099042,0.162,0.088,2.20183404417481e-10
"chr17-73066309-73069533",1.26444370101487e-15,0.710420672322422,0.175,0.1,2.24260470368296e-10
"chr11-118177878-118187757",1.35343441991674e-15,-0.561547827970101,0.13,0.167,2.40043775282013e-10
"chr5-24382986-24385816",1.53175731799197e-15,-0.510324930693221,0.147,0.191,2.71670946161737e-10
"chr18-34852800-34872890",1.60172953647444e-15,0.197812783895515,0.796,0.747,2.84081148859571e-10
"chr9-108107588-108112245",1.61190267531027e-15,-0.677334776029823,0.088,0.125,2.85885446590354e-10
"chr9-43268759-43272414",1.63703920434901e-15,0.622099503694985,0.219,0.132,2.90343636244136e-10
"chr5-113154833-113166568",1.89700987699686e-15,-0.315976463499815,0.357,0.406,3.36451774774286e-10
"chr5-146260772-146261570",1.95636119613201e-15,0.305795299626875,0.586,0.499,3.46978265384777e-10
"chr19-46862088-46866398",2.00929969683805e-15,-0.476285269062565,0.166,0.21,3.563673849315e-10
"chr4-139174893-139178344",2.06273821252398e-15,0.54696322346625,0.272,0.177,3.6584518663504e-10
"chr13-60932146-60937696",2.09767132812277e-15,-0.475931227163958,0.165,0.209,3.72040889084527e-10
"chr5-108364406-108371566",2.1750290815319e-15,0.499826624018074,0.316,0.22,3.85760982871416e-10
"chr18-67251639-67253914",2.24855317943305e-15,0.707777749854421,0.174,0.102,3.98801143351066e-10
"chr7-70322392-70335629",2.48205186224662e-15,0.531864479101312,0.272,0.184,4.40214236236198e-10
"chr4-148106877-148110416",2.80884007047504e-15,0.794870398141769,0.147,0.084,4.98173066059383e-10
"chr9-99867203-99880741",2.87877001285703e-15,0.435874613291342,0.354,0.258,5.10575770710311e-10
"chr6-142038940-142041227",3.05093238501404e-15,0.792521443990771,0.146,0.08,5.41110316873705e-10
"chr7-99100584-99103437",3.26785996510296e-15,-0.659903578561645,0.089,0.131,5.79584375550696e-10
"chr14-33350602-33353574",3.65958804567717e-15,0.668879671972304,0.195,0.118,6.49060876193257e-10
"chr7-29312216-29320401",3.81026141878201e-15,-0.533363641286785,0.138,0.178,6.75784154973758e-10
"chr18-53263540-53269995",3.83022557915624e-15,0.430449246015401,0.373,0.267,6.79324978493571e-10
"chr16-11126327-11136513",3.91662242047856e-15,-0.270731775238981,0.4,0.44,6.94648235873656e-10
"chr16-11980534-11988306",4.07492240008682e-15,0.623370860045403,0.214,0.133,7.22724161956999e-10
"chr14-39471096-39475038",4.34205137662986e-15,0.757069798081102,0.157,0.086,7.70101890107695e-10
"chr10-24167590-24170146",5.28174979363855e-15,0.777536509750742,0.151,0.086,9.3676586164994e-10
"chr16-18700343-18707002",6.23919430078785e-15,0.55726741092686,0.244,0.16,1.10657726199343e-09
"chr7-110784831-110788394",6.74652241054992e-15,0.626427865943547,0.204,0.126,1.19655646821272e-09
"chr12-56610683-56616347",7.57716551223849e-15,0.791869802707164,0.144,0.08,1.34387849808511e-09
"chr8-93809223-93814972",8.33755430956034e-15,0.527235295229336,0.285,0.189,1.47874029478931e-09
"chr18-64329452-64350721",8.41856307165133e-15,0.40188450230454,0.404,0.299,1.49310792782501e-09
"chr6-114456958-114460164",8.93287104841671e-15,0.753680635873717,0.159,0.087,1.58432507627614e-09
"chr5-39714347-39717423",9.41400406162809e-15,0.673680838658368,0.189,0.113,1.6696583463663e-09
"chr18-60647700-60653423",1.21768337426332e-14,0.54698816790447,0.267,0.177,2.15967105575968e-09
"chr16-16212095-16216380",1.27265508219108e-14,0.630434528220953,0.212,0.131,2.25716832722328e-09
"chr8-85481490-85483168",1.28318727654784e-14,-0.637472123484682,0.093,0.129,2.27584812181248e-09
"chr4-101507248-101514025",1.28599793725133e-14,0.612763231700671,0.22,0.137,2.28083308152959e-09
"chr9-106229597-106232095",1.51021685729584e-14,-0.662777555003557,0.086,0.124,2.67850551593132e-09
"chr1-36266897-36278031",1.65635750224912e-14,-0.294451823735556,0.367,0.411,2.93769910241402e-09
"chr11-105942844-105949614",1.73620707963258e-14,0.481756931142928,0.305,0.213,3.07931951436556e-09
"chr15-66960760-66971849",1.89456687401803e-14,0.345331057852473,0.489,0.382,3.36018486208963e-09
"chr5-32131447-32151175",2.22106397271279e-14,-0.201594339320939,0.628,0.663,3.93925685136367e-09
"chrX-159507701-159510881",2.3077626603933e-14,-0.622417540716229,0.093,0.132,4.09302477684694e-09
"chr7-142440255-142445410",2.41568976373006e-14,-0.422279665351193,0.206,0.252,4.284443208054e-09
